epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9434,0.99863,1.66071,2.09085,0.64591,0.88158,0.75891,0.59536,0.63658,34.3487,1.99675,0.000661578,0.000661578,0.000661578
2,71.6112,0.81575,0.78428,1.83876,0.6489,0.89976,0.69607,0.51343,0.73796,47.0062,1.90577,0.00131509,0.00131509,0.00131509
3,102.134,0.76724,0.62554,1.80663,0.61786,0.87632,0.61896,0.52242,0.51791,39.9941,1.83777,0.00195541,0.00195541,0.00195541
4,132.233,0.7735,0.58821,1.80905,0.6351,0.87942,0.63263,0.52294,0.50103,53.5813,1.82804,0.0019406,0.0019406,0.0019406
5,162.473,0.72567,0.54508,1.76993,0.57293,0.85263,0.56099,0.43523,0.6284,50.2896,1.97516,0.0019208,0.0019208,0.0019208
6,192.76,0.70291,0.52057,1.7558,0.64303,0.85789,0.60342,0.48273,0.64439,45.4107,1.8291,0.001901,0.001901,0.001901
7,223.064,0.67585,0.49075,1.74661,0.61019,0.89474,0.61169,0.51994,0.47628,55.1925,1.77495,0.0018812,0.0018812,0.0018812
8,253.298,0.6653,0.48488,1.70866,0.60992,0.88158,0.60052,0.51865,0.46765,53.9975,1.69591,0.0018614,0.0018614,0.0018614
9,283.629,0.6547,0.48295,1.70028,0.61918,0.82105,0.62195,0.54282,0.46935,52.8557,1.68572,0.0018416,0.0018416,0.0018416
10,313.712,0.62979,0.45663,1.67853,0.6374,0.92105,0.70908,0.6389,0.41395,57.3625,1.76149,0.0018218,0.0018218,0.0018218
11,343.951,0.63089,0.44847,1.69422,0.62885,0.89174,0.61277,0.54566,0.38965,54.6033,1.68699,0.001802,0.001802,0.001802
12,374.39,0.60319,0.43607,1.64205,0.59272,0.92632,0.6044,0.54482,0.38509,58.7223,1.58192,0.0017822,0.0017822,0.0017822
13,404.912,0.5999,0.43148,1.66533,0.64788,0.86316,0.61941,0.53615,0.40585,63.4114,1.65566,0.0017624,0.0017624,0.0017624
14,435.346,0.5942,0.42691,1.65414,0.62602,0.92507,0.67632,0.61315,0.37663,51.3489,1.54993,0.0017426,0.0017426,0.0017426
15,465.752,0.5797,0.41394,1.62807,0.6518,0.89211,0.63228,0.54598,0.43503,61.3601,1.62546,0.0017228,0.0017228,0.0017228
16,496.246,0.56941,0.4155,1.62522,0.64481,0.91725,0.64622,0.58795,0.32784,61.9807,1.53695,0.001703,0.001703,0.001703
17,526.569,0.5766,0.41217,1.62527,0.64185,0.88684,0.62041,0.55977,0.37124,56.8614,1.56727,0.0016832,0.0016832,0.0016832
18,556.837,0.55298,0.39897,1.60945,0.62707,0.88499,0.63678,0.56502,0.37662,55.6198,1.51742,0.0016634,0.0016634,0.0016634
19,587.137,0.56844,0.40689,1.62282,0.64447,0.90789,0.62946,0.5665,0.38075,65.5064,1.51447,0.0016436,0.0016436,0.0016436
20,617.354,0.54558,0.3848,1.60113,0.64119,0.8747,0.60231,0.52156,0.41006,64.3509,1.56019,0.0016238,0.0016238,0.0016238
21,647.738,0.54852,0.38971,1.59066,0.63765,0.8706,0.62421,0.556,0.39539,60.8802,1.59518,0.001604,0.001604,0.001604
22,678.066,0.54535,0.3885,1.60585,0.64766,0.87895,0.688,0.61359,0.43928,59.0737,1.77975,0.0015842,0.0015842,0.0015842
23,708.304,0.54012,0.37997,1.58541,0.63265,0.91053,0.62405,0.55648,0.32977,62.8006,1.46341,0.0015644,0.0015644,0.0015644
24,738.51,0.53488,0.38246,1.58244,0.63712,0.93158,0.64981,0.57622,0.37669,56.944,1.59453,0.0015446,0.0015446,0.0015446
25,768.82,0.53046,0.37234,1.58132,0.64387,0.88495,0.63869,0.57342,0.40185,61.2241,1.53331,0.0015248,0.0015248,0.0015248
26,799.101,0.52748,0.37627,1.57951,0.60808,0.93421,0.60771,0.54885,0.35569,64.6312,1.48287,0.001505,0.001505,0.001505
27,829.372,0.52025,0.37531,1.57393,0.64555,0.90104,0.63462,0.56393,0.37456,62.5941,1.55328,0.0014852,0.0014852,0.0014852
28,859.574,0.50984,0.36587,1.55281,0.64602,0.86579,0.62281,0.57432,0.33335,62.7646,1.52014,0.0014654,0.0014654,0.0014654
29,889.961,0.50697,0.35877,1.55838,0.63793,0.92105,0.6251,0.55643,0.34777,67.007,1.44012,0.0014456,0.0014456,0.0014456
