epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2392,0.84482,1.63911,1.41021,1.20406,0.76814,0.77368,0.80055,0.60415,0.76814,0.77368,0.79286,0.57782,0.86897,1.48232,1.65255,1.55603,0.000661972,0.000661972,0.000661972
2,60.8586,0.86954,1.35284,0.85754,1.19336,0.77656,0.67105,0.76504,0.52201,0.74023,0.62368,0.6601,0.3656,0.97981,2.79145,1.65534,1.58689,0.00131548,0.00131548,0.00131548
3,87.6156,0.86774,1.34344,0.73047,1.18197,0.83222,0.73098,0.82623,0.58633,0.8192,0.71542,0.8094,0.60871,0.99245,1.2653,1.41479,1.58957,0.0019558,0.0019558,0.0019558
4,114.108,0.85713,1.29662,0.67276,1.17057,0.85458,0.68045,0.79928,0.54749,0.85168,0.66842,0.78724,0.55162,1.17704,1.66295,1.06061,1.77797,0.0019406,0.0019406,0.0019406
5,140.557,0.81946,1.21977,0.59846,1.14488,0.66343,0.80526,0.76493,0.51093,0.65259,0.79211,0.75109,0.50287,1.08941,1.19618,1.36032,1.69815,0.0019208,0.0019208,0.0019208
6,166.982,0.78569,1.20982,0.55967,1.12944,0.87648,0.78426,0.89074,0.7214,0.86191,0.772,0.87865,0.69418,0.75003,0.98063,0.742,1.35017,0.001901,0.001901,0.001901
7,193.497,0.76241,1.18304,0.53237,1.11045,0.79157,0.85948,0.87161,0.72238,0.79157,0.85948,0.87196,0.71115,0.71086,0.85299,0.77711,1.32276,0.0018812,0.0018812,0.0018812
8,219.926,0.74314,1.13607,0.51437,1.1021,0.86827,0.86731,0.92825,0.75806,0.84185,0.88254,0.92363,0.74007,0.70625,0.93576,0.70151,1.29881,0.0018614,0.0018614,0.0018614
9,246.49,0.7244,1.14826,0.49219,1.09023,0.85419,0.87876,0.912,0.76154,0.85087,0.87085,0.91174,0.7538,0.6882,0.84285,0.59698,1.27225,0.0018416,0.0018416,0.0018416
10,273.195,0.71471,1.11377,0.4765,1.0884,0.80972,0.8,0.87622,0.73592,0.81505,0.80526,0.87764,0.72069,0.6365,0.90993,0.67823,1.2047,0.0018218,0.0018218,0.0018218
