epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.007,0.72664,1.36828,1.32479,1.10022,0.82315,0.75071,0.82743,0.64094,0.81236,0.73932,0.79862,0.58025,0.86785,3.14121,1.27721,1.33621,0.000663265,0.000663265,0.000663265
2,80.9308,0.76323,1.26651,0.81074,1.09947,0.75113,0.67664,0.75188,0.56575,0.73294,0.67244,0.73944,0.55991,0.95167,1.66163,1.18443,1.38923,0.00131677,0.00131677,0.00131677
3,118.5,0.76661,1.24482,0.71463,1.10274,0.80738,0.71052,0.80635,0.64043,0.81446,0.7191,0.81421,0.64797,0.79097,1.16846,1.13501,1.27359,0.00195707,0.00195707,0.00195707
4,155.616,0.74832,1.21477,0.65307,1.0886,0.86085,0.82764,0.86908,0.73242,0.85693,0.82336,0.86217,0.72002,0.66923,1.40212,1.22435,1.15674,0.0019406,0.0019406,0.0019406
5,192.566,0.71029,1.10706,0.59565,1.06523,0.83225,0.83761,0.88644,0.75634,0.83225,0.83761,0.88478,0.75871,0.61748,1.04541,0.67956,1.12015,0.0019208,0.0019208,0.0019208
6,229.386,0.66263,1.07649,0.55342,1.03616,0.94421,0.83618,0.91457,0.79381,0.94421,0.83618,0.91227,0.8126,0.59258,1.01446,0.60036,1.0855,0.001901,0.001901,0.001901
7,266.253,0.64482,1.03365,0.52507,1.02171,0.95477,0.80627,0.91998,0.80387,0.95477,0.80627,0.92069,0.82051,0.55974,0.81422,0.73848,1.03779,0.0018812,0.0018812,0.0018812
8,303.063,0.62112,0.97816,0.50223,1.00868,0.92107,0.88462,0.91699,0.80439,0.92107,0.88462,0.91767,0.81829,0.60755,0.9355,0.59771,1.10167,0.0018614,0.0018614,0.0018614
9,340.059,0.60742,0.95669,0.4844,1.00547,0.95023,0.87033,0.94254,0.85236,0.95023,0.87033,0.94172,0.84813,0.49849,0.79291,0.48936,1.00195,0.0018416,0.0018416,0.0018416
10,376.899,0.60054,0.95115,0.46668,1.00113,0.955,0.87664,0.93614,0.83316,0.955,0.87664,0.93973,0.83884,0.51317,0.79617,0.52716,1.00297,0.0018218,0.0018218,0.0018218
11,414.5,0.58161,0.91864,0.45335,0.98806,0.94692,0.90313,0.94588,0.87284,0.94692,0.90313,0.94592,0.87246,0.44775,0.63621,0.47837,0.94373,0.001802,0.001802,0.001802
12,451.68,0.5709,0.88095,0.43585,0.98282,0.95285,0.85185,0.91832,0.83902,0.95285,0.85185,0.91817,0.84996,0.4942,0.74416,0.50263,0.99239,0.0017822,0.0017822,0.0017822
13,488.014,0.55396,0.87323,0.42697,0.9779,0.97961,0.88948,0.95404,0.88439,0.97961,0.88948,0.95399,0.88121,0.42356,0.65408,0.44358,0.94374,0.0017624,0.0017624,0.0017624
14,524.201,0.55341,0.8804,0.42622,0.97826,0.9447,0.85173,0.94217,0.85649,0.9447,0.85173,0.94093,0.85676,0.46485,0.62392,0.56935,0.96391,0.0017426,0.0017426,0.0017426
15,560.605,0.5516,0.85102,0.41513,0.9784,0.94434,0.8943,0.92221,0.86355,0.94434,0.8943,0.92318,0.85883,0.43348,0.62047,0.54526,0.93612,0.0017228,0.0017228,0.0017228
16,597.036,0.54018,0.83897,0.40679,0.96805,0.94143,0.85755,0.93118,0.84175,0.9461,0.85015,0.92834,0.82035,0.48706,0.8147,0.56259,1.00285,0.001703,0.001703,0.001703
17,633.511,0.53347,0.8401,0.39777,0.96126,0.94501,0.89601,0.94062,0.87703,0.94609,0.89744,0.94109,0.8778,0.42987,0.61595,0.44143,0.95244,0.0016832,0.0016832,0.0016832
18,669.681,0.52657,0.80068,0.3925,0.96167,0.97169,0.88177,0.94739,0.87105,0.97169,0.88177,0.94779,0.87066,0.41778,0.59893,0.47109,0.92803,0.0016634,0.0016634,0.0016634
19,705.946,0.5157,0.79106,0.3874,0.95766,0.97843,0.90171,0.94801,0.88604,0.97843,0.90171,0.94937,0.88311,0.40817,0.67154,0.38787,0.91277,0.0016436,0.0016436,0.0016436
20,742.252,0.51817,0.77269,0.38322,0.95521,0.94341,0.90741,0.95102,0.88857,0.94492,0.90456,0.95075,0.88885,0.41413,0.629,0.47799,0.95292,0.0016238,0.0016238,0.0016238
21,778.606,0.51031,0.75728,0.37752,0.9478,0.95786,0.87464,0.94329,0.88025,0.95786,0.87464,0.94405,0.8847,0.42092,0.6511,0.43908,0.94542,0.001604,0.001604,0.001604
22,814.823,0.50737,0.74726,0.36793,0.9497,0.9569,0.89601,0.93058,0.88686,0.9569,0.89601,0.93176,0.88471,0.39253,0.62683,0.45367,0.90951,0.0015842,0.0015842,0.0015842
23,851.075,0.50421,0.76379,0.37203,0.9493,0.94631,0.87881,0.92273,0.87995,0.94785,0.88023,0.9239,0.87952,0.39222,0.66002,0.43577,0.91705,0.0015644,0.0015644,0.0015644
24,887.279,0.49609,0.74822,0.3627,0.94433,0.95542,0.88529,0.93279,0.88816,0.95542,0.88529,0.93221,0.88972,0.38451,0.60066,0.41892,0.92332,0.0015446,0.0015446,0.0015446
25,923.461,0.49264,0.73884,0.35824,0.94404,0.96164,0.89744,0.93432,0.88278,0.96164,0.89744,0.93521,0.8881,0.3801,0.67077,0.38761,0.91814,0.0015248,0.0015248,0.0015248
26,959.632,0.48146,0.72643,0.35373,0.94204,0.92248,0.92308,0.94306,0.89217,0.92248,0.92308,0.94488,0.89029,0.38254,0.60914,0.47189,0.90374,0.001505,0.001505,0.001505
27,995.814,0.47829,0.71563,0.34972,0.93491,0.94673,0.89316,0.94909,0.89018,0.94673,0.89316,0.9494,0.89722,0.38224,0.59446,0.40521,0.912,0.0014852,0.0014852,0.0014852
28,1032.11,0.48207,0.71609,0.34765,0.9372,0.93861,0.81339,0.91011,0.83317,0.93861,0.81339,0.91011,0.82971,0.41866,0.57288,0.63505,0.9314,0.0014654,0.0014654,0.0014654
29,1068.28,0.4756,0.71787,0.33882,0.93407,0.95017,0.89635,0.93954,0.8894,0.95017,0.89635,0.94086,0.8892,0.37808,0.64628,0.40808,0.89341,0.0014456,0.0014456,0.0014456
30,1104.46,0.45984,0.6913,0.32935,0.92946,0.9584,0.91595,0.95066,0.90776,0.9584,0.91595,0.95238,0.90341,0.36025,0.57538,0.39634,0.88731,0.0014258,0.0014258,0.0014258
31,1140.62,0.46698,0.69432,0.33681,0.93455,0.94456,0.88604,0.93639,0.88275,0.94456,0.88604,0.93652,0.88472,0.39709,0.61838,0.41026,0.91452,0.001406,0.001406,0.001406
32,1176.83,0.4652,0.67813,0.33079,0.92996,0.95464,0.86947,0.94041,0.88006,0.95464,0.86947,0.94182,0.87651,0.4051,0.68327,0.43749,0.92935,0.0013862,0.0013862,0.0013862
33,1213.11,0.46038,0.69567,0.32515,0.92997,0.97044,0.81909,0.92833,0.86508,0.97044,0.81909,0.92616,0.87282,0.42584,0.68638,0.46844,0.97886,0.0013664,0.0013664,0.0013664
34,1249.4,0.45534,0.67707,0.3204,0.92229,0.96041,0.89174,0.94609,0.90411,0.96041,0.89174,0.94533,0.90029,0.33834,0.63244,0.37197,0.87028,0.0013466,0.0013466,0.0013466
35,1285.56,0.45154,0.66753,0.31552,0.92655,0.99031,0.84758,0.93545,0.89488,0.99031,0.84758,0.9353,0.89329,0.34738,0.60148,0.39005,0.87482,0.0013268,0.0013268,0.0013268
36,1321.7,0.44628,0.66025,0.31469,0.92406,0.9716,0.89601,0.95562,0.90376,0.9716,0.89601,0.94679,0.90328,0.35167,0.68485,0.35363,0.89022,0.001307,0.001307,0.001307
37,1357.82,0.44216,0.64871,0.31019,0.92275,0.96639,0.90101,0.95228,0.90772,0.96706,0.90313,0.95162,0.90648,0.35918,0.55446,0.38375,0.90888,0.0012872,0.0012872,0.0012872
38,1394.02,0.44367,0.65298,0.31344,0.92389,0.96119,0.88034,0.94506,0.89428,0.96119,0.88034,0.94402,0.8929,0.35838,0.60328,0.36886,0.89558,0.0012674,0.0012674,0.0012674
39,1430.2,0.44714,0.65675,0.31312,0.92183,0.98634,0.87037,0.93282,0.89581,0.98634,0.87037,0.93353,0.89359,0.33769,0.52591,0.3951,0.88544,0.0012476,0.0012476,0.0012476
